,Pair,Long Short Band,Foil Decay Band,Leverage,Gross return %,Net return %,Borrow paid ($),Max drawdown %,Worst day %,Trades,Rate source,Shares available,Borrow rate (used) %,Breakeven borrow rate % (annualized),Min margin cushion ($),Stopped,De-risks
126,TNA / IWM,0.005,0.01,3,7.838775515965741,4.471190619584388,336.75848963813536,-0.9158445750704572,-0.8984422849718202,469,live,150000,5.3332999999999995,12.414398670163685,2456.765092933034,False,0
127,TNA / IWM,0.005,0.025,3,7.85382838266503,4.4868934226880945,336.6934959976936,-0.9166402135375784,-0.8984422849718202,470,live,150000,5.3332999999999995,12.440639160298552,2370.79488615256,False,0
128,TNA / IWM,0.005,0.05,3,7.8446188423771,4.471250016766357,337.3368825610744,-0.9442275461450902,-0.9254819301653431,469,live,150000,5.3332999999999995,12.402351428167671,2204.392929683452,False,0
129,TNA / IWM,0.005,0.075,3,7.774773166612647,4.39969308686541,337.50800797472385,-0.9491206020564885,-0.9302778449295063,469,live,150000,5.3332999999999995,12.285693005719908,2039.4660849306883,False,0
130,TNA / IWM,0.005,0.1,3,7.85809676296622,4.475398812683955,338.26979502822644,-0.9837017126844705,-0.9641724216572322,469,live,150000,5.3332999999999995,12.389396890263463,1834.753022255577,False,0
131,TNA / IWM,0.005,0.015,3,7.837837881516689,4.470656253177746,336.71816283389427,-0.9157746444031124,-0.8984422849718202,470,live,150000,5.3332999999999995,12.414400346474311,2451.4979926673213,False,0
132,TNA / IWM,0.0075,0.01,3,7.841429473800914,4.473844577419559,336.75848963813536,-0.9158445750704572,-0.8984422849718202,458,live,150000,5.3332999999999995,12.418601787162316,2456.765092933034,False,0
133,TNA / IWM,0.0075,0.025,3,7.856626690896169,4.489691730919232,336.6934959976936,-0.9166402135375784,-0.8984422849718202,459,live,150000,5.3332999999999995,12.445071742889704,2370.79488615256,False,0
134,TNA / IWM,0.0075,0.05,3,7.847785826091644,4.4744170004809,337.33688256107445,-0.9442275461450907,-0.9254819301653436,460,live,150000,5.3332999999999995,12.407358433069282,2204.573307727085,False,0
135,TNA / IWM,0.0075,0.075,3,7.777490959938342,4.402410880191103,337.5080079747239,-0.949120602056488,-0.9302778449295055,458,live,150000,5.3332999999999995,12.289987661491455,2045.6670586341716,False,0
136,TNA / IWM,0.0075,0.1,3,7.860925681274901,4.478227730992636,338.26979502822644,-0.9837017126844705,-0.9641724216572322,459,live,150000,5.3332999999999995,12.393857078621227,1834.753022255577,False,0
137,TNA / IWM,0.0075,0.015,3,7.8404398284086785,4.473258200069735,336.71816283389427,-0.9157746444031124,-0.8984422849718202,459,live,150000,5.3332999999999995,12.418521586398601,2451.6783707109544,False,0
138,TNA / IWM,0.01,0.01,3,7.818709637948011,4.451124741566657,336.75848963813536,-0.9158445750704572,-0.8984422849718202,451,live,150000,5.3332999999999995,12.382620006663036,2456.765092933034,False,0
139,TNA / IWM,0.01,0.025,3,7.82112699362523,4.454192033648294,336.6934959976936,-0.9166402135375784,-0.8984422849718202,449,live,150000,5.3332999999999995,12.38883943139403,2370.79488615256,False,0
140,TNA / IWM,0.01,0.05,3,7.823893704661818,4.450524879051073,337.33688256107445,-0.9442275461450907,-0.9254819301653436,451,live,150000,5.3332999999999995,12.369584961560836,2203.853820078384,False,0
